Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
All,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBW,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBO,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
NHB,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
NHB,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,2,47.14,45.45,0.16,45.45,1.68,1.18,0.0,Closer01
All,Pk,A,2,22.21,20.88,0.11,20.88,1.33,1.21,0.0,Closer01
HBW,Pk,P,2,12.46,12.42,0.04,12.42,0.04,0.0,0.0,Closer01
HBW,Pk,A,2,2.21,2.21,0.0,2.21,0.0,0.0,0.0,Closer01
HBO,Pk,P,2,29.12,27.9,0.11,27.9,1.22,1.11,0.0,Closer01
HBO,Pk,A,2,16.98,15.73,0.11,15.73,1.25,1.14,0.0,Closer01
NHB,Pk,P,2,3.11,3.04,0.01,3.04,0.07,0.07,0.0,Closer01
NHB,Pk,A,2,3.02,2.95,0.01,2.95,0.08,0.07,0.0,Closer01
HBC,Pk,P,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,2,2.45,2.1,0.0,2.1,0.35,0.0,0.0,Closer01
HBSch,Pk,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,3,76.79,72.53,0.41,72.82,3.98,3.01,0.28,Closer01
All,Pk,A,3,33.12,30.29,0.18,30.29,2.83,2.65,0.0,Closer01
HBW,Pk,P,3,18.59,18.39,0.12,18.45,0.14,0.02,0.06,Closer01
HBW,Pk,A,3,3.39,3.39,0.0,3.39,0.0,0.0,0.0,Closer01
HBO,Pk,P,3,48.82,45.45,0.28,45.68,3.14,2.87,0.22,Closer01
HBO,Pk,A,3,24.83,22.14,0.17,22.14,2.69,2.53,0.0,Closer01
NHB,Pk,P,3,5.12,4.99,0.01,4.99,0.13,0.12,0.0,Closer01
NHB,Pk,A,3,4.9,4.77,0.01,4.77,0.13,0.12,0.0,Closer01
HBC,Pk,P,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,3,4.27,3.7,0.0,3.7,0.56,0.01,0.0,Closer01
HBSch,Pk,A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,4,2.49,2.41,0.02,2.41,0.08,0.04,0.0,Closer01
All,Pk,A,4,1.01,0.97,0.01,0.97,0.04,0.04,0.0,Closer01
HBW,Pk,P,4,0.74,0.74,0.0,0.74,0.0,0.0,0.0,Closer01
HBW,Pk,A,4,0.12,0.12,0.0,0.12,0.0,0.0,0.0,Closer01
HBO,Pk,P,4,1.56,1.51,0.01,1.51,0.05,0.04,0.0,Closer01
HBO,Pk,A,4,0.86,0.82,0.01,0.82,0.04,0.04,0.0,Closer01
NHB,Pk,P,4,0.02,0.02,0.0,0.02,0.0,0.0,0.0,Closer01
NHB,Pk,A,4,0.03,0.03,0.0,0.03,0.0,0.0,0.0,Closer01
HBC,Pk,P,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,4,0.17,0.15,0.0,0.15,0.02,0.0,0.0,Closer01
HBSch,Pk,A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,5,235.72,224.39,1.37,224.39,11.32,7.5,0.0,Closer01
All,Pk,A,5,98.36,90.45,0.62,90.45,7.91,7.28,0.0,Closer01
HBW,Pk,P,5,54.85,54.22,0.46,54.22,0.62,0.16,0.0,Closer01
HBW,Pk,A,5,11.01,10.86,0.03,10.86,0.15,0.12,0.0,Closer01
HBO,Pk,P,5,143.12,135.24,0.86,135.24,7.88,7.02,0.0,Closer01
HBO,Pk,A,5,73.03,65.61,0.55,65.61,7.42,6.87,0.0,Closer01
NHB,Pk,P,5,15.33,14.99,0.04,14.99,0.34,0.3,0.0,Closer01
NHB,Pk,A,5,14.32,13.98,0.04,13.98,0.34,0.3,0.0,Closer01
HBC,Pk,P,5,6.0,6.0,0.0,6.0,0.0,0.0,0.0,Closer01
HBC,Pk,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
HBSch,Pk,P,5,16.42,13.94,0.01,13.94,2.49,0.02,0.0,Closer01
HBSch,Pk,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Closer01
All,Pk,P,6,8.82,8.35,0.06,8.35,0.46,0.33,0.01,Closer01
All,Pk,A,6,12.46,11.92,0.07,11.92,0.54,0.47,0.0,Closer01
HBW,Pk,P,6,2.18,2.13,0.02,2.13,0.05,0.03,0.0,Closer01
